time,theta,theta_dot
2.36,20.637952196483127,13.85370335312997
2.37,20.778054776845064,14.164861743160946
2.38,20.92120070932974,14.461402237235609
2.39,21.067214658828888,14.737500829318964
2.4,21.215863580662955,14.98747203240954
2.41,21.36685911051383,15.205972516839207
2.42,21.519862051570414,15.388214784496045
2.43,21.674488990734325,15.530176775130183
2.44,21.830320924953046,15.628791607217396
2.45,21.986913619442163,15.682101709715385
2.46,22.143809270702008,15.689363651327955
2.47,22.30054892860984,15.65109392202978
2.48,22.456685060396186,15.569051297441083
2.49,22.61179362561536,15.446157450537699
2.5,22.765485077350444,15.28636325439789
2.5100000000000002,22.917413803890174,15.094472886669918
2.52,23.06728566249862,14.875940780866234
2.5300000000000002,23.214863413683688,14.636657402151735
2.54,23.359970020752115,14.382738856514017
2.5500000000000003,23.502489918202848,14.120332872141713
2.56,23.64236846142306,13.855450293101903
2.57,23.779609842975475,13.593827502770996
2.58,23.914273796972978,13.34082166890002
2.59,24.046471416576818,13.101337741000286
2.6,24.17636038727929,12.87978392729593
2.61,24.304139898224136,12.680050971203034
2.62,24.430045443038956,12.505509861179108
2.63,24.554343667049146,12.359022502545802
2.64,24.677327364311456,12.242960192733069
2.65,24.79931067904185,12.15922531855527
2.66,24.920624523703484,12.109272409773357
2.67,25.04161219117073,12.094125447492718
2.68,25.162625111184482,12.114389085346593
2.69,25.284018681580914,12.170252174219339
2.7,25.406148092243868,12.261482690859292
2.71,25.529364054260633,12.387413877992769
2.72,25.654008348477202,12.546922139008828
2.73,25.780409116996278,12.738398026021816
2.74,25.90887583887671,12.95971254100144
2.75,26.039693958285664,13.20818194346867
2.7600000000000002,26.173119170480444,13.480535304635646
2.77,26.30937141871868,13.772890106785594
2.7800000000000002,26.448628713134383,14.080742148289108
2.79,26.591020949020646,14.398976713935156
2.8000000000000003,26.736623973162004,14.721908191477109
2.81,26.885454216858676,15.043354811784841
2.82,27.037464274615004,15.356753724082475
2.83,27.192539847573958,15.655319021746491
2.84,27.350498479104047,15.932241586099291
2.85,27.511090475746553,16.180924913854668
2.86,27.674002322574374,16.395245904469547
2.87,27.838862766457186,16.569824631412377
2.88,28.005251560535388,16.700283300760795
2.89,28.172710654250793,16.783472804799345
2.9,28.34075739943851,16.817646175770538
2.91,28.508899152762428,16.802562063798742
2.92,28.676648516163457,16.73950775962925
2.93,28.843538391664126,16.631239354961796
2.94,29.009136045365587,16.481845094145346
2.95,29.17305547471919,16.296545442371624
2.96,29.334967537204854,16.08144872866386
2.97,29.494607502210165,15.84328374774056
2.98,29.65177990219835,15.589130338843393
2.99,29.806360757107655,15.326166146698347
3.0,29.958297406653795,15.061443306538328
3.0100000000000002,30.10760629689858,14.801703601938367
3.02,30.254369127128182,14.553235558952084
3.0300000000000002,30.398727775141342,14.321772581497138
3.04,30.540878392713,14.11242794896944
3.0500000000000003,30.681065009687117,13.929660384194081
3.06,30.819572916242624,13.777262866701443
3.0700000000000003,30.95672201822086,13.658367211981213
3.08,31.092860287599738,13.575457422438681
3.09,31.22835736449008,13.530385715000058
3.1,31.36359831160864,13.524386263553959
3.11,31.498977478728538,13.558082938927466
3.12,31.63489240385641,13.631488618135224
3.13,31.771737660145984,13.743994947504847
3.14,31.909898553101744,13.894352791512231
3.15,32.04974458191547,14.080645005098624
3.16,32.19162260250783,14.300254650865126
3.17,32.335849668789244,14.549833336960656
3.18,32.4827055832958,14.825275922870032
3.19,32.63242525832729,15.121709308393617
3.2,32.785191072050445,15.433504185554224
3.21,32.94112549635014,15.754319212819977
3.22,33.1002843669959,16.077186724917564
3.23,33.262651250909926,16.394647470108353
3.24,33.42813342575194,16.698938697471494
3.25,33.596560007572975,16.982235116654294
3.2600000000000002,33.7676827274532,17.236936046704027
3.27,33.94117975651294,17.455985075657548
3.2800000000000002,34.11666280733386,17.633201777834252
3.29,34.29368750711223,17.76359976062078
3.3000000000000003,34.471766765383805,17.843662832116124
3.31,34.65038658012268,17.87155236454766
3.3200000000000003,34.82902348027746,17.84722428769366
3.33,35.00716262914211,17.77244303847515
3.34,35.184315540465725,17.65069085378435
3.35,35.36003640036082,17.48698212737357
3.36,35.53393613562012,17.287602192912793
3.37,35.705693597815895,17.059796296278858
3.38,35.87506350550073,16.811436898319837
3.39,36.04188106347759,16.550695893989534
3.4,36.206063422729535,16.285743664678897
3.41,36.36760833206967,16.024490341210964
3.42,36.52659045084247,15.774377561935147
3.43,36.683155841325565,15.542222468484475
3.44,36.8375151493627,15.334110424556169
3.45,36.989935927030274,15.155329303430795
3.46,37.14073446820575,15.010336166823128
3.47,37.29026743195928,14.902746530032237
3.48,37.43892343211096,14.83533685320725
3.49,37.58711468313515,14.81005208544901
3.5,37.73526871882333,14.828011739894256
3.5100000000000002,37.88382014432595,14.889509896267498
3.52,38.03320234640396,14.994006595820393
3.5300000000000002,38.183839072126425,15.140110259122206
3.54,38.33613579372066,15.325553002737383
3.5500000000000003,38.49047080755315,15.54716304112112
3.56,38.64718606873329,15.800840684584212
3.5700000000000003,38.806577839192855,16.081546661028153
3.58,38.968887324203905,16.383313375233794
3.59,39.13429158524993,16.69929093623886
3.6,39.30289513713446,17.021839890715746
3.61,39.47472275067617,17.342681112914665
3.62,39.64971407112744,17.6531097968799
3.63,39.82772070511002,17.944274769708606
3.64,40.008506403720524,18.207516585939278
3.65,40.19175085936312,18.434748801375907
3.66,40.37705743185418,18.61885776259819
3.67,40.563964833849326,18.754088922137207
3.68,40.75196246327191,18.836383924689994
3.69,40.94050871446465,18.863633930675878
3.7,41.12905128363213,18.835821373654927
3.71,41.317048260486665,18.75503389817519
3.72,41.50398870655084,18.62534872298053
3.73,41.68941147797688,18.452600483530233
3.74,41.87292124627544,18.24405800618297
3.75,42.0542009686655,18.008043361739123
3.7600000000000002,42.23302040993874,17.753528966630338
3.77,42.40924066540216,17.489745715055406
3.7800000000000002,42.58281493323674,17.22582839861504
3.79,42.75378600378039,16.97051578672479
3.8000000000000003,42.92228106040946,16.73191349978339
3.81,43.08850442582422,16.517319635043222
3.8200000000000003,43.2527288541672,16.33310687240643
3.83,43.415285884907014,16.18465080876613
3.84,43.576555661063765,16.076292431529474
3.85,43.736956491848495,16.011322578353212
3.86,43.8969343236235,15.99197748559962
3.87,44.05695218426613,16.01943667649346
3.88,44.21747959170977,16.093817148187746
3.89,44.37898187202895,16.214160859801208
3.9,44.541909318532866,16.378415763378136
3.91,44.70668614241907,16.583413962879757
